time,currentSpeed,weatherDesc,motorcycles,cars,heavyVehicles
2025-03-12 10:30:03,46,scattered clouds,0,13,0
2025-03-12 11:00:04,49,scattered clouds,1,9,0
2025-03-12 11:30:04,45,scattered clouds,1,13,0
2025-03-12 12:00:04,49,scattered clouds,0,5,0
2025-03-12 12:30:04,51,scattered clouds,4,11,0
2025-03-12 13:00:04,49,scattered clouds,0,10,0
2025-03-12 13:30:05,50,scattered clouds,0,8,0
2025-03-12 14:00:05,52,scattered clouds,0,11,0
2025-03-12 14:30:05,51,scattered clouds,1,13,0
2025-03-12 15:00:05,51,scattered clouds,0,12,0
2025-03-12 15:30:06,50,scattered clouds,1,12,0
2025-03-12 16:00:06,43,few clouds,0,8,0
2025-03-12 16:30:06,34,few clouds,1,24,2
2025-03-12 17:00:06,32,few clouds,2,21,2
2025-03-12 17:30:06,30,few clouds,6,21,2
2025-03-12 18:00:06,28,few clouds,4,21,3
2025-03-12 18:30:07,38,few clouds,1,20,2
2025-03-12 19:00:07,45,few clouds,0,14,0
2025-03-12 19:30:07,52,few clouds,0,19,0
2025-03-12 20:00:07,66,few clouds,0,14,1
2025-03-12 20:30:08,66,few clouds,0,10,0
2025-03-12 21:00:08,66,few clouds,0,0,0
2025-03-12 21:30:08,66,few clouds,0,0,0
2025-03-12 22:00:08,66,few clouds,0,0,0
2025-03-12 22:30:08,66,few clouds,0,0,0
2025-03-12 23:00:09,66,few clouds,0,0,0
2025-03-12 23:30:08,66,few clouds,0,0,0
2025-03-13 00:00:09,66,few clouds,0,0,0
2025-03-13 00:30:09,66,few clouds,0,0,0
2025-03-13 01:00:09,66,few clouds,0,1,0
2025-03-13 01:30:09,66,few clouds,0,0,0
2025-03-13 02:00:10,66,few clouds,0,0,0
2025-03-13 02:30:10,66,scattered clouds,0,0,0
2025-03-13 03:00:10,66,few clouds,0,0,0
2025-03-13 03:30:10,66,few clouds,0,0,0
2025-03-13 04:00:10,66,few clouds,0,0,0
2025-03-13 04:30:11,66,few clouds,0,0,0
2025-03-13 05:00:11,66,few clouds,0,0,0
2025-03-13 05:30:11,66,few clouds,0,0,0
2025-03-13 06:00:11,66,few clouds,0,1,0
2025-03-13 06:30:11,66,few clouds,0,12,0
2025-03-13 07:00:11,49,few clouds,0,6,0
2025-03-13 07:30:11,39,few clouds,1,12,0
2025-03-13 08:00:12,41,few clouds,3,14,1
2025-03-13 08:30:12,40,few clouds,2,11,1
2025-03-13 09:00:12,40,few clouds,0,12,2
2025-03-13 09:30:12,40,overcast clouds,5,8,1
2025-03-13 10:00:12,43,few clouds,3,11,0
2025-03-13 10:30:12,47,scattered clouds,0,15,3
2025-03-13 11:00:13,45,light rain,3,9,0
2025-03-13 11:30:13,40,light rain,2,28,0
2025-03-13 12:00:13,44,moderate rain,1,13,1
2025-03-13 12:30:14,46,light rain,1,14,0
2025-03-13 13:00:13,45,overcast clouds,2,11,1
2025-03-13 13:30:14,46,broken clouds,1,9,0
2025-03-13 14:00:13,37,broken clouds,1,4,0
2025-03-13 14:30:14,42,few clouds,3,8,0
2025-03-13 15:00:14,49,scattered clouds,0,15,3
2025-03-13 15:30:14,54,overcast clouds,2,5,0
2025-03-13 16:00:15,47,few clouds,2,13,0
2025-03-13 16:30:15,43,overcast clouds,4,18,0
2025-03-13 17:00:15,36,few clouds,5,18,0
2025-03-13 18:00:15,36,scattered clouds,0,18,1
2025-03-13 18:30:16,43,overcast clouds,2,20,0
2025-03-13 19:00:16,45,light rain,0,9,0
2025-03-13 19:30:16,52,overcast clouds,0,1,0
2025-03-13 20:00:16,66,overcast clouds,0,0,0
2025-03-13 20:30:16,66,overcast clouds,0,5,0
2025-03-13 21:00:16,66,overcast clouds,0,1,0
2025-03-13 21:30:17,66,broken clouds,0,1,0
2025-03-13 22:00:17,66,few clouds,0,0,0
2025-03-13 22:30:17,66,few clouds,0,0,0
2025-03-13 23:00:17,66,broken clouds,0,1,0
2025-03-13 23:30:18,66,broken clouds,0,0,0
2025-03-14 00:00:18,66,broken clouds,0,0,0
2025-03-14 00:30:18,66,scattered clouds,0,0,0
2025-03-14 01:00:19,66,scattered clouds,0,0,0
2025-03-14 01:30:18,66,scattered clouds,0,0,0
2025-03-14 02:00:18,66,scattered clouds,0,0,0
2025-03-14 02:30:19,66,broken clouds,0,0,0
2025-03-14 03:00:19,66,broken clouds,0,0,0
2025-03-14 03:30:19,66,broken clouds,0,0,0
2025-03-14 04:00:20,66,broken clouds,0,0,0
2025-03-14 04:30:20,66,broken clouds,0,0,0
2025-03-14 05:00:20,66,broken clouds,0,0,0
2025-03-14 05:30:20,66,broken clouds,0,0,0
2025-03-14 06:30:20,66,overcast clouds,0,12,0
2025-03-14 07:00:20,49,overcast clouds,0,20,0
2025-03-14 07:30:20,45,overcast clouds,6,9,0
2025-03-14 08:00:21,39,overcast clouds,2,9,1
2025-03-14 08:30:21,40,overcast clouds,3,14,0
2025-03-14 09:00:21,44,overcast clouds,0,9,1
2025-03-14 09:30:21,46,overcast clouds,2,13,1
2025-03-14 10:00:21,43,overcast clouds,2,13,0
2025-03-14 10:30:21,45,overcast clouds,1,7,0
2025-03-14 11:00:22,45,overcast clouds,3,15,0
2025-03-14 11:30:22,43,broken clouds,2,9,1
2025-03-14 12:00:22,48,broken clouds,2,4,0
2025-03-14 12:30:22,47,broken clouds,0,14,0
2025-03-14 13:00:22,49,broken clouds,2,7,0
2025-03-14 13:30:23,45,overcast clouds,2,6,1
2025-03-14 14:00:23,44,overcast clouds,1,10,0
2025-03-14 14:30:23,47,light rain,1,14,1
2025-03-14 18:47:23,22,scattered clouds,1,21,0
2025-03-14 19:00:35,25,scattered clouds,0,28,0
2025-03-14 19:30:04,33,clear sky,1,20,0
2025-03-14 20:00:04,46,few clouds,0,13,0
2025-03-14 20:30:04,53,few clouds,0,18,0
2025-03-14 21:00:05,54,few clouds,0,4,0
2025-03-14 22:00:04,66,few clouds,0,1,0
2025-03-14 22:30:04,66,few clouds,0,0,0
2025-03-14 23:00:05,66,few clouds,0,0,0
2025-03-14 23:30:05,66,few clouds,0,1,0
2025-03-15 00:00:05,66,few clouds,0,0,0
2025-03-15 00:30:05,66,few clouds,0,0,0
2025-03-15 01:00:05,66,moderate rain,0,0,0
2025-03-15 01:30:06,66,few clouds,0,0,0
2025-03-15 02:00:06,66,few clouds,0,0,0
2025-03-15 02:30:06,66,few clouds,0,0,0
2025-03-15 03:00:06,66,few clouds,0,0,0
2025-03-15 03:30:06,66,few clouds,0,0,0
2025-03-15 04:00:06,66,few clouds,0,0,0
2025-03-15 04:30:07,66,few clouds,0,0,0
2025-03-15 05:00:07,66,few clouds,0,0,0
2025-03-15 05:30:07,66,few clouds,0,1,0
2025-03-15 06:00:08,66,few clouds,0,0,0
2025-03-15 06:30:07,66,few clouds,0,3,0
2025-03-15 07:00:07,66,few clouds,0,5,0
2025-03-15 07:30:08,66,few clouds,1,6,1
2025-03-15 08:00:07,66,few clouds,0,7,0
2025-03-15 08:30:08,66,scattered clouds,1,5,0
2025-03-15 09:00:08,66,scattered clouds,1,8,0
2025-03-15 09:30:08,54,scattered clouds,0,7,0
2025-03-15 10:00:08,49,scattered clouds,0,10,1
2025-03-15 10:30:08,49,scattered clouds,2,4,0
2025-03-15 11:00:09,48,scattered clouds,1,8,1
2025-03-15 11:30:09,46,scattered clouds,2,13,1
2025-03-15 12:00:09,48,scattered clouds,6,23,0
2025-03-15 12:30:09,47,scattered clouds,3,19,1
2025-03-15 13:00:09,46,scattered clouds,3,13,0
2025-03-15 13:30:09,49,overcast clouds,2,4,1
2025-03-15 14:00:10,46,scattered clouds,1,9,0
2025-03-15 14:30:10,46,scattered clouds,0,7,1
2025-03-15 15:00:11,48,scattered clouds,0,6,0
2025-03-15 15:30:10,46,scattered clouds,0,11,2
2025-03-15 16:00:11,47,few clouds,0,13,1
2025-03-15 16:30:11,49,few clouds,1,17,0
2025-03-15 17:00:12,38,few clouds,0,14,1
2025-03-15 17:30:11,46,few clouds,0,10,0
2025-03-15 18:00:11,49,few clouds,2,9,1
2025-03-15 18:30:12,48,few clouds,2,8,1
2025-03-15 19:00:12,50,few clouds,0,3,0
2025-03-15 19:30:12,52,few clouds,0,6,0
2025-03-15 20:00:12,66,few clouds,0,0,0
2025-03-15 20:30:12,66,few clouds,0,1,0
2025-03-15 21:00:13,66,few clouds,0,2,0
2025-03-15 21:30:13,66,few clouds,0,0,0
2025-03-15 22:00:13,66,few clouds,0,0,0
2025-03-15 22:30:13,66,few clouds,0,0,0
2025-03-15 23:00:14,66,heavy intensity rain,0,1,0
2025-03-15 23:30:14,66,few clouds,0,0,0
2025-03-16 00:00:14,66,few clouds,0,0,0
2025-03-16 00:30:14,66,few clouds,0,0,0
2025-03-16 01:00:14,66,few clouds,0,0,0
2025-03-16 01:30:14,66,few clouds,0,0,0
2025-03-16 02:00:14,66,few clouds,0,0,0
2025-03-16 02:30:14,66,few clouds,0,0,0
2025-03-16 03:00:15,66,few clouds,0,0,0
2025-03-16 03:30:15,66,few clouds,0,0,0
2025-03-16 04:00:15,66,few clouds,0,0,0
2025-03-16 04:30:15,66,moderate rain,0,0,0
2025-03-16 05:00:15,66,few clouds,0,0,0
2025-03-16 05:30:16,66,few clouds,0,0,0
2025-03-16 06:00:16,66,few clouds,0,0,0
2025-03-16 06:30:16,66,few clouds,0,5,0
2025-03-16 07:00:16,66,few clouds,0,6,0
2025-03-16 07:30:16,66,few clouds,0,3,0
2025-03-16 08:00:16,66,few clouds,1,4,1
2025-03-16 08:30:16,66,few clouds,0,4,0
2025-03-16 09:00:17,66,few clouds,0,9,1
2025-03-16 09:30:17,66,few clouds,0,8,0
2025-03-16 10:00:17,66,few clouds,1,7,0
2025-03-16 10:30:17,66,few clouds,0,5,0
2025-03-16 11:00:17,66,few clouds,0,8,0
2025-03-16 11:30:18,66,few clouds,1,9,0
2025-03-16 12:00:17,66,few clouds,1,14,0
2025-03-16 12:30:18,53,few clouds,1,7,0
2025-03-16 13:00:18,59,few clouds,2,7,0
2025-03-16 13:30:18,53,few clouds,1,6,0
2025-03-16 15:00:18,49,scattered clouds,0,10,0
2025-03-16 15:30:19,51,scattered clouds,0,7,0
2025-03-16 16:00:19,66,scattered clouds,0,10,0
2025-03-16 16:30:20,53,few clouds,1,10,0
2025-03-16 17:00:19,49,few clouds,3,15,0
2025-03-16 17:30:20,49,few clouds,2,6,0
2025-03-16 18:00:20,45,few clouds,0,9,0
2025-03-16 18:30:20,50,few clouds,0,7,0
2025-03-16 19:00:20,66,few clouds,0,3,0
2025-03-16 19:30:21,50,few clouds,0,7,0
2025-03-16 20:00:21,52,few clouds,0,3,0
2025-03-16 20:30:21,66,few clouds,0,1,0
2025-03-16 21:00:21,66,few clouds,0,1,0
2025-03-16 21:30:21,66,few clouds,0,2,0
2025-03-16 22:00:21,66,few clouds,0,0,0
2025-03-16 22:30:22,66,few clouds,0,0,0
2025-03-16 23:00:22,66,few clouds,0,0,0
2025-03-16 23:30:22,66,few clouds,0,1,0
2025-03-17 00:00:23,66,few clouds,0,0,0
2025-03-17 00:30:23,66,light rain,0,1,0
2025-03-17 01:00:23,66,few clouds,0,0,0
2025-03-17 01:30:23,66,few clouds,0,0,0
2025-03-17 02:00:23,66,few clouds,0,0,0
2025-03-17 02:30:23,66,few clouds,0,0,0
2025-03-17 03:00:24,66,light rain,0,0,0
2025-03-17 03:30:24,66,few clouds,0,0,0
2025-03-17 04:00:24,66,few clouds,0,0,0
2025-03-17 04:30:24,66,few clouds,0,0,0
2025-03-17 05:00:24,66,few clouds,0,0,0
2025-03-17 05:30:24,66,few clouds,0,0,0
2025-03-17 06:00:25,66,few clouds,0,0,0
2025-03-17 06:30:25,51,few clouds,0,6,0
2025-03-17 07:00:25,46,few clouds,3,12,0
2025-03-17 07:30:25,40,few clouds,1,12,0
2025-03-17 08:00:25,38,few clouds,6,10,1
2025-03-17 08:30:25,40,few clouds,1,11,1
2025-03-17 09:00:26,42,few clouds,1,14,1
2025-03-17 09:30:26,43,few clouds,0,8,0
2025-03-17 10:00:26,39,few clouds,3,11,0
2025-03-17 10:30:26,46,few clouds,1,12,0
2025-03-17 11:00:26,45,few clouds,0,3,1
2025-03-17 11:30:26,46,few clouds,4,10,0
2025-03-17 12:00:27,66,clear sky,1,5,2
2025-03-17 12:30:27,48,few clouds,0,9,1
2025-03-17 13:00:27,53,few clouds,3,17,0
2025-03-17 13:30:27,52,few clouds,3,10,0
2025-03-17 14:00:27,54,few clouds,7,6,0
2025-03-17 14:30:28,54,scattered clouds,1,2,0
2025-03-17 15:00:28,52,scattered clouds,0,10,0
2025-03-17 15:30:28,51,few clouds,0,10,1
2025-03-17 16:00:28,48,few clouds,1,8,0
2025-03-17 16:30:28,45,few clouds,2,13,0
2025-03-17 17:00:28,32,few clouds,2,21,0
2025-03-17 17:30:29,32,few clouds,5,28,1
2025-03-17 18:00:29,38,few clouds,3,25,0
2025-03-17 18:30:29,49,few clouds,3,21,0
2025-03-17 19:00:29,52,few clouds,0,6,0
2025-03-17 19:30:30,52,few clouds,0,0,0
2025-03-17 20:00:30,66,few clouds,0,1,0
2025-03-17 20:30:30,66,few clouds,0,1,0
2025-03-17 21:00:31,66,few clouds,0,1,0
2025-03-17 21:30:31,66,few clouds,0,2,0
2025-03-17 22:00:31,66,few clouds,0,0,0
2025-03-17 22:30:31,66,few clouds,0,1,0
2025-03-17 23:00:31,66,few clouds,0,0,0
2025-03-17 23:30:32,66,few clouds,0,0,0
2025-03-18 00:00:31,66,few clouds,0,0,0
2025-03-18 00:30:31,66,few clouds,0,0,0
2025-03-18 01:00:32,66,few clouds,0,0,0
2025-03-18 01:30:32,66,few clouds,0,0,0
2025-03-18 02:00:33,66,few clouds,0,0,0
2025-03-18 02:30:32,66,few clouds,0,0,0
2025-03-18 03:00:32,66,few clouds,0,0,0
2025-03-18 03:30:32,66,few clouds,0,0,0
2025-03-18 04:00:33,66,few clouds,0,0,0
2025-03-18 04:30:33,66,few clouds,0,0,0
2025-03-18 05:00:33,66,few clouds,0,0,0
2025-03-18 05:30:33,66,scattered clouds,0,0,0
2025-03-18 06:00:33,66,scattered clouds,0,1,0
2025-03-18 06:30:34,66,few clouds,0,6,1
2025-03-18 07:00:34,50,few clouds,0,7,2
2025-03-18 07:30:34,42,few clouds,5,14,1
2025-03-18 08:00:34,40,few clouds,1,16,0
2025-03-18 08:30:34,40,few clouds,3,13,0
2025-03-18 09:00:34,42,few clouds,2,8,0
2025-03-18 09:30:35,41,few clouds,5,12,0
2025-03-18 10:00:34,43,few clouds,0,15,0
2025-03-18 10:30:34,44,scattered clouds,0,11,0
2025-03-18 11:00:35,45,scattered clouds,1,15,0
2025-03-18 11:30:35,52,broken clouds,3,8,2
2025-03-18 12:00:35,47,scattered clouds,0,10,0
2025-03-18 12:30:35,50,scattered clouds,2,11,1
2025-03-18 13:00:35,39,broken clouds,2,11,0
2025-03-18 13:30:36,48,few clouds,1,19,0
2025-03-18 14:00:36,50,overcast clouds,1,3,2
2025-03-18 14:30:36,49,few clouds,1,4,1
2025-03-18 15:00:36,47,few clouds,2,9,0
2025-03-18 15:30:37,48,few clouds,1,8,0
2025-03-18 16:00:37,46,few clouds,1,20,1
2025-03-18 16:30:37,48,few clouds,3,23,1
2025-03-18 17:00:37,34,few clouds,1,19,2
2025-03-18 17:30:37,37,few clouds,11,24,2
2025-03-18 18:00:37,38,few clouds,6,26,0
2025-03-18 18:30:38,46,few clouds,1,28,0
2025-03-18 19:00:38,50,few clouds,0,12,0
2025-03-18 19:30:38,52,few clouds,0,0,0
2025-03-18 20:00:38,66,few clouds,0,1,0
2025-03-18 20:30:39,66,few clouds,0,0,0
2025-03-18 21:00:39,66,few clouds,0,0,0
2025-03-18 21:30:39,66,few clouds,0,3,0
2025-03-18 22:00:39,66,few clouds,0,0,0
2025-03-18 22:30:39,66,few clouds,0,1,0
2025-03-18 23:00:40,66,few clouds,0,0,0
2025-03-18 23:30:40,66,few clouds,0,0,0
2025-03-19 00:00:40,66,few clouds,0,0,0
2025-03-19 00:30:40,66,few clouds,0,0,0
2025-03-19 01:00:40,66,few clouds,0,0,0
2025-03-19 01:30:40,66,few clouds,0,0,0
2025-03-19 02:00:40,66,few clouds,0,0,0
2025-03-19 02:30:41,66,few clouds,0,0,0
2025-03-19 03:00:41,66,few clouds,0,0,0
2025-03-19 03:30:41,66,few clouds,0,0,0
2025-03-19 04:00:41,66,few clouds,0,0,0
2025-03-19 04:30:42,66,few clouds,0,0,0
2025-03-19 05:00:42,66,few clouds,0,0,0
2025-03-19 05:30:42,66,few clouds,0,0,0
2025-03-19 06:00:42,66,few clouds,0,0,0
2025-03-19 06:30:42,66,few clouds,0,6,0
2025-03-19 07:00:42,51,few clouds,1,7,0
2025-03-19 07:30:42,40,few clouds,1,14,1
2025-03-19 08:00:42,41,few clouds,3,7,0
2025-03-19 08:30:43,40,few clouds,6,14,0
2025-03-19 09:00:43,39,few clouds,0,13,1
2025-03-19 09:30:43,39,few clouds,4,11,0
2025-03-19 10:00:43,41,few clouds,0,5,3
2025-03-19 10:30:43,45,few clouds,2,9,3
2025-03-19 11:00:43,40,few clouds,2,14,0
2025-03-19 11:30:44,46,few clouds,0,9,0
2025-03-19 12:00:44,49,few clouds,1,11,1
2025-03-19 12:30:44,48,few clouds,0,10,0
2025-03-19 13:00:44,47,few clouds,0,10,1
2025-03-19 16:00:45,44,few clouds,0,15,3
2025-03-19 16:30:45,38,few clouds,5,18,1
2025-03-19 17:00:45,29,few clouds,3,29,0
2025-03-19 17:30:46,29,few clouds,8,22,0
2025-03-19 18:00:46,35,scattered clouds,2,23,1
2025-03-19 18:30:47,33,scattered clouds,1,25,0
2025-03-19 19:00:47,42,few clouds,0,11,1
2025-03-19 19:30:47,50,few clouds,0,3,0
2025-03-19 20:00:47,66,few clouds,0,6,0
2025-03-19 20:30:47,66,few clouds,0,8,0
2025-03-19 21:00:48,66,few clouds,0,3,0
2025-03-19 21:30:48,66,few clouds,0,0,0
2025-03-19 22:00:48,66,few clouds,0,8,0
2025-03-19 22:30:48,60,few clouds,1,2,0
2025-03-19 23:00:48,66,few clouds,0,1,0
2025-03-19 23:30:48,66,few clouds,0,0,0
2025-03-20 00:00:48,66,few clouds,0,0,0
2025-03-20 00:30:49,66,overcast clouds,0,0,0
2025-03-20 01:00:49,66,overcast clouds,0,0,0
2025-03-20 01:30:49,66,few clouds,0,0,0
2025-03-20 02:00:49,66,few clouds,0,0,0
2025-03-20 02:30:49,66,few clouds,0,0,0
2025-03-20 03:00:50,66,few clouds,0,0,0
2025-03-20 03:30:50,66,few clouds,0,0,0
2025-03-20 04:00:50,66,few clouds,0,0,0
2025-03-20 04:30:50,66,few clouds,0,0,0
2025-03-20 05:00:51,66,few clouds,0,0,0
2025-03-20 05:30:51,66,few clouds,0,0,0
2025-03-20 06:00:51,66,few clouds,0,0,0
2025-03-20 06:30:50,66,few clouds,1,7,1
2025-03-20 07:00:51,49,few clouds,2,8,0
2025-03-20 07:30:51,43,few clouds,5,17,0
2025-03-20 09:30:51,39,few clouds,0,10,0
2025-03-20 10:30:52,37,few clouds,0,6,0
2025-03-20 12:00:52,48,few clouds,1,12,0
2025-03-21 20:30:02,50,few clouds,0,1,0
2025-03-21 21:00:02,66,few clouds,0,5,0
2025-03-21 21:30:03,66,few clouds,0,2,0
2025-03-21 22:00:03,66,few clouds,0,0,0
2025-03-21 22:30:03,66,few clouds,0,0,0
2025-03-21 23:00:03,66,few clouds,0,0,0
2025-03-21 23:30:03,66,few clouds,0,1,0
2025-03-22 00:00:04,66,few clouds,0,0,0
2025-03-22 00:30:04,66,few clouds,0,0,0
2025-03-22 01:00:04,66,few clouds,0,1,0
2025-03-22 01:30:04,66,few clouds,0,0,0
2025-03-22 02:00:04,66,few clouds,0,0,0
2025-03-22 02:30:05,66,few clouds,0,0,0
2025-03-22 03:00:05,66,few clouds,0,0,0
2025-03-22 03:30:05,66,few clouds,0,0,0
2025-03-22 04:00:05,66,few clouds,0,0,0
2025-03-22 04:30:05,66,few clouds,0,0,0
2025-03-22 05:00:05,66,few clouds,0,0,0
2025-03-22 05:30:06,66,overcast clouds,0,1,0
2025-03-22 06:00:06,66,few clouds,0,0,0
2025-03-22 06:30:06,66,few clouds,1,10,1
2025-03-22 07:00:06,66,few clouds,0,6,0
2025-03-22 07:30:06,66,few clouds,2,6,0
2025-03-22 08:00:06,66,few clouds,0,7,0
2025-03-22 08:30:06,51,few clouds,0,9,0
2025-03-22 09:00:06,54,overcast clouds,3,10,0
2025-03-22 09:30:07,49,broken clouds,0,9,0
2025-03-22 10:00:07,48,broken clouds,2,9,0
2025-03-22 10:30:07,52,broken clouds,0,10,0
2025-03-22 11:00:07,51,broken clouds,0,3,0
2025-03-22 11:30:07,51,broken clouds,1,11,0
2025-03-22 12:00:08,50,broken clouds,0,8,0
2025-03-22 12:30:08,51,broken clouds,2,11,0
2025-03-22 13:00:08,49,broken clouds,2,8,0
2025-03-22 13:30:08,49,scattered clouds,0,10,1
2025-03-22 14:00:08,50,scattered clouds,1,9,1
2025-03-22 14:30:09,51,overcast clouds,1,2,0
2025-03-22 15:00:09,52,overcast clouds,0,7,0
2025-03-22 15:30:09,51,overcast clouds,0,10,0
2025-03-22 16:00:09,49,overcast clouds,2,9,0
2025-03-22 16:30:09,49,overcast clouds,1,9,2
2025-03-22 17:00:09,44,overcast clouds,0,10,2
2025-03-22 17:30:09,45,overcast clouds,1,21,1
2025-03-22 18:00:10,49,overcast clouds,0,12,0
2025-03-22 18:30:10,48,broken clouds,1,18,0
2025-03-22 19:00:10,49,broken clouds,0,0,0
2025-03-22 19:30:11,66,few clouds,0,5,0
2025-03-22 20:00:11,66,few clouds,0,0,0
2025-03-22 20:30:11,66,few clouds,0,1,0
2025-03-22 21:00:11,66,few clouds,0,0,0
2025-03-22 21:30:12,66,few clouds,0,0,0
2025-03-22 22:00:12,66,few clouds,0,1,0
2025-03-22 22:30:12,66,few clouds,0,1,0
2025-03-22 23:00:12,66,few clouds,0,0,0
2025-03-22 23:30:12,66,few clouds,0,0,0
